,category,city,company_name,geo,job_title,job_type,post_date,salary_offered,state,url,average_salary,Salary
0,Retail & Consumer Products,Sydney,Frontline Executive Retail Sydney,AU,Store Manager - Fresh Produce,Full Time,2018-04-15T23:13:45Z,$100k Base + Super + Benefits,North Shore & Northern Beaches,https://www.seek.com.au/job/35989382,100.0,100000.0
1,Trades & Services,Sydney,Design & Construct,AU,Project Manger,Full Time,2018-04-16T03:57:48Z,$110k - $120k p.a. + Super+Car allowance,Parramatta & Western Suburbs,https://www.seek.com.au/job/35993944,115.0,115000.0
2,Banking & Financial Services,Sydney,Ford Peterson,AU,Senior Financial Planner,Full Time,2018-04-16T01:31:10Z,$130k + super + bonus,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35991697,130.0,130000.0
3,Call Centre & Customer Service,Melbourne,BTA SALES PTY LTD,AU,Customer Service Consultant,Full Time,2018-04-16T01:33:47Z,$45k - $55k ,CBD & Inner Suburbs,https://www.seek.com.au/job/35991746,50.0,50000.0
4,Accounting,Sydney,Robert Half Finance & Accounting,AU,Credit Officer ,Contract/Temp,2018-04-16T02:41:24Z,$28 - $32 p.h.,Ryde & Macquarie Park,https://www.seek.com.au/job/35992747,30.0,30.0
5,Trades & Services,Sydney,Programmed Skilled Workforce,AU,2nd Class Production Welder,Contract/Temp,2018-04-16T01:24:54Z,$32.78ph ,Parramatta & Western Suburbs,https://www.seek.com.au/job/35991537,55.0,55.0
6,Human Resources & Recruitment,Sydney,Design & Build,AU,Recruitment Consultant,Full Time,2018-04-16T01:30:36Z,+$100k,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35991656,100.0,100000.0
7,Accounting,Melbourne,Legal People,AU,Debt Recovery Clerk - Law firm opportunity!,Full Time,2018-04-16T01:30:32Z,Call Rosie or Laine at Legal People on 9098 8775,CBD & Inner Suburbs,https://www.seek.com.au/job/35991650,8936.5,8936.5
8,"Manufacturing, Transport & Logistics",Sydney,Jodar,AU,HR Hook Lift Truck Driver,Full Time,2018-04-16T04:10:38Z,$28 - $32 per hour,Parramatta & Western Suburbs,https://www.seek.com.au/job/35994182,30.0,30.0
9,Information & Communication Technology,Sydney,Charterhouse,AU,Business Analyst - SAP Implementation,Contract/Temp,2018-04-16T02:40:48Z,Up to $750 + super per day,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35992726,750.0,750.0
10,Real Estate & Property,Melbourne,Gough Recruitment (VIC) Pty Ltd,AU,Operations Manager - Industrial,Full Time,2018-04-16T01:30:48Z,$100K Ppkg,CBD & Inner Suburbs,https://www.seek.com.au/job/35991681,100.0,50000.0
11,Banking & Financial Services,Perth,Kelly Services - Perth,AU,Financial Planner,Full Time,2018-04-16T04:29:46Z,$80k - $90k p.a. + Superannuation + Commission + B,"CBD, Inner & Western Suburbs",https://www.seek.com.au/job/35994602,85.0,85000.0
12,Construction,Melbourne,Bitu-Mill  Pty Ltd,AU,Bobcat Operator,Full Time,2018-04-16T04:28:42Z,$25 - $35/h plus benefits In accordance with EBA,Northern Suburbs,https://www.seek.com.au/job/35994583,30.0,30.0
13,Information & Communication Technology,Sydney,NES Global Talent,AU,Senior Data Analyst - Health Data  ,Full Time,2018-04-16T02:02:07Z,$80000 - $100000 per annum,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35992228,90000.0,90000.0
14,Trades & Services,Sydney,"Randstad - Construction, Property & Engineering",AU,Trade Assistant,Contract/Temp,2018-04-16T03:16:52Z,$23 - $25 p.a. + Overtime ,Parramatta & Western Suburbs,https://www.seek.com.au/job/35993259,24.0,24.0
15,Engineering,Melbourne,Spring Professional Ltd,AU,Electrical Hardware Manager,Full Time,2018-04-16T04:28:27Z,$100k - $120k p.a. + + Package,Bayside & South Eastern Suburbs,https://www.seek.com.au/job/35994576,110.0,73333.33333333333
16,Government & Defence,Melbourne,Darebin City Council,AU,Community Development Officer,Full Time,2018-04-16T03:18:51Z,"$81,421 per annum",Northern Suburbs,https://www.seek.com.au/job/35993278,251.0,81421.0
17,Information & Communication Technology,Sydney,Hart Recruitment,AU,Customer Support Engineer (Level 2),Full Time,2018-04-16T03:39:30Z,$75k / $80k + Super,North Shore & Northern Beaches,https://www.seek.com.au/job/35993599,77.5,77500.0
